V: 96   Nothing: -0.3706037  Left: 0   Right: -0.1   Up & Left: -0.4374202  Up & Right: 0   Up: -0.4547292
V: 97   Nothing: 0  Left: -0.4646609   Right: -0.19   Up & Left: -0.19  Up & Right: -0.1   Up: -0.133219
V: 98   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 99   Nothing: -0.109  Left: -0.1   Right: -0.1   Up & Left: 0  Up & Right: 0   Up: -0.1
V: 100   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 101   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 102   Nothing: -0.1  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 103   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 104   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 105   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 106   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 107   Nothing: 0  Left: 0   Right: -0.1   Up & Left: 0  Up & Right: 0   Up: 0
V: 108   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 109   Nothing: -0.1  Left: -0.1   Right: -0.109   Up & Left: -0.1  Up & Right: 0   Up: -0.19
V: 110   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 111   Nothing: 0  Left: 0   Right: -0.19   Up & Left: 0  Up & Right: -0.1   Up: 0
V: 112   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 113   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 114   Nothing: 0  Left: -0.1   Right: 0   Up & Left: -0.1  Up & Right: 0   Up: 0
V: 115   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 116   Nothing: 0  Left: -0.1   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 117   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 118   Nothing: 0  Left: 0   Right: 0   Up & Left: 0  Up & Right: 0   Up: 0
V: 119   Nothing: 0  Left: 0   Right: 5   Up & Left: 0  Up & Right: 0   Up: 0

